time,sat_id,x,y,z
25.1,3,-3.11994e+06,6.14183e+06,3.13016e+06
25.1,4,-4.18518e+06,5.95986e+06,2.05932e+06
25.1,5,-5.08143e+06,5.53707e+06,905176
25.1,6,-3.19934e+06,5.93938e+06,3.42574e+06
25.1,7,-4.80151e+06,5.56435e+06,1.80698e+06
25.1,8,-4.10051e+06,5.615e+06,2.98576e+06
25.1,9,-5.54713e+06,4.98253e+06,1.30207e+06
26.1,0,-2.43208e+06,6.33395e+06,3.34893e+06
26.1,1,-3.53501e+06,6.28291e+06,2.30224e+06
26.1,2,-4.49522e+06,5.97798e+06,1.16241e+06
26.1,3,-3.1249e+06,6.14178e+06,3.12533e+06
26.1,4,-4.18945e+06,5.95872e+06,2.05398e+06
26.1,5,-5.08483e+06,5.53487e+06,899549
26.1,6,-3.20447e+06,5.9393e+06,3.42109e+06
26.1,7,-4.80548e+06,5.56268e+06,1.80156e+06
26.1,8,-4.10531e+06,5.61412e+06,2.98084e+06
26.1,9,-5.55055e+06,4.98018e+06,1.29652e+06
27.1,0,-2.43714e+06,6.3345e+06,3.34423e+06
27.1,1,-3.5395e+06,6.28231e+06,2.29699e+06
27.1,2,-4.49895e+06,5.97626e+06,1.15683e+06
27.1,3,-3.12986e+06,6.14172e+06,3.12049e+06
27.1,4,-4.19371e+06,5.95757e+06,2.04864e+06
27.1,5,-5.08822e+06,5.53268e+06,893921
27.1,6,-3.20961e+06,5.93921e+06,3.41644e+06
27.1,7,-4.80946e+06,5.56101e+06,1.79613e+06
27.1,8,-4.1101e+06,5.61323e+06,2.97591e+06
27.1,9,-5.55396e+06,4.97783e+06,1.29096e+06
28.1,0,-2.4422e+06,6.33504e+06,3.33953e+06
28.1,1,-3.54398e+06,6.28171e+06,2.29174e+06
28.1,2,-4.50268e+06,5.97454e+06,1.15125e+06
28.1,3,-3.13482e+06,6.14166e+06,3.11564e+06
28.1,4,-4.19797e+06,5.95641e+06,2.0433e+06
28.1,5,-5.09161e+06,5.53047e+06,888292
28.1,6,-3.21474e+06,5.93912e+06,3.41178e+06
28.1,7,-4.81343e+06,5.55934e+06,1.79071e+06
28.1,8,-4.11489e+06,5.61234e+06,2.97099e+06
28.1,9,-5.55737e+06,4.97548e+06,1.2854e+06
29.1,0,-2.44726e+06,6.33557e+06,3.33482e+06
29.1,1,-3.54846e+06,6.2811e+06,2.28649e+06
29.1,2,-4.5064e+06,5.97282e+06,1.14566e+06
29.1,3,-3.13977e+06,6.1416e+06,3.1108e+06
29.1,4,-4.20223e+06,5.95525e+06,2.03795e+06
29.1,5,-5.095e+06,5.52827e+06,882662
29.1,6,-3.21987e+06,5.93902e+06,3.40713e+06
29.1,7,-4.8174e+06,5.55766e+06,1.78528e+06
29.1,8,-4.11968e+06,5.61144e+06,2.96606e+06
29.1,9,-5.56077e+06,4.97312e+06,1.27985e+06
30.1,0,-2.45231e+06,6.3361e+06,3.33012e+06
30.1,1,-3.55294e+06,6.28049e+06,2.28123e+06
30.1,2,-4.51012e+06,5.97109e+06,1.14007e+06
30.1,3,-3.14472e+06,6.14153e+06,3.10595e+06
30.1,4,-4.20648e+06,5.95409e+06,2.0326e+06
30.1,5,-5.09838e+06,5.52605e+06,877031
30.1,6,-3.22499e+06,5.93892e+06,3.40247e+06
30.1,7,-4.82136e+06,5.55597e+06,1.77985e+06
30.1,8,-4.12446e+06,5.61054e+06,2.96113e+06
30.1,9,-5.56417e+06,4.97076e+06,1.27429e+06
31.1,0,-2.45736e+06,6.33663e+06,3.3254e+06
31.1,1,-3.55741e+06,6.27987e+06,2.27598e+06
31.1,2,-4.51384e+06,5.96935e+06,1.13448e+06
31.1,3,-3.14967e+06,6.14145e+06,3.1011e+06
31.1,4,-4.21073e+06,5.95292e+06,2.02725e+06
31.1,5,-5.10176e+06,5.52384e+06,871400
31.1,6,-3.23011e+06,5.93882e+06,3.3978e+06
31.1,7,-4.82532e+06,5.55428e+06,1.77442e+06
