time,ut_id,visible_count,closest_sat_id,distance_km
37.1,12,4,0,1325.66
37.1,14,4,0,1391.75
37.1,16,6,1,1312.38
37.1,18,4,0,1457.03
37.1,20,7,1,1221.06
38.1,12,4,0,1323.7
38.1,14,4,0,1389.8
38.1,16,6,1,1314.38
38.1,18,4,0,1454.78
38.1,20,7,1,1219.85
39.1,12,4,0,1321.77
39.1,14,4,0,1387.88
39.1,16,6,1,1316.4
39.1,18,4,0,1452.54
39.1,20,7,1,1218.68
40.1,12,4,0,1319.86
40.1,14,4,0,1385.99
40.1,16,6,1,1318.45
40.1,18,4,0,1450.34
40.1,20,7,1,1217.53
41.1,12,4,0,1317.98
41.1,14,4,0,1384.12
41.1,16,6,1,1320.52
41.1,18,4,0,1448.15
41.1,20,8,1,1216.42
42.1,12,4,0,1316.13
42.1,14,4,0,1382.28
42.1,16,6,1,1322.63
42.1,18,4,0,1445.99
42.1,20,8,1,1215.34
43.1,12,4,0,1314.3
43.1,14,4,0,1380.47
43.1,16,6,1,1324.76
43.1,18,4,0,1443.86
43.1,20,8,1,1214.29
44.1,12,4,0,1312.51
44.1,14,4,0,1378.68
44.1,16,6,1,1326.91
44.1,18,4,0,1441.75
44.1,20,8,1,1213.27
45.1,12,4,0,1310.74
45.1,14,4,0,1376.92
45.1,16,6,1,1329.1
45.1,18,4,0,1439.66
45.1,20,8,1,1212.29
46.1,12,4,0,1309
46.1,14,4,0,1375.19
46.1,16,6,1,1331.31
46.1,18,4,0,1437.6
46.1,20,8,1,1211.34
47.1,12,4,0,1307.29
47.1,14,4,0,1373.48
47.1,16,6,1,1333.54
47.1,18,4,0,1435.57
47.1,20,8,1,1210.42
48.1,12,4,0,1305.61
48.1,14,4,0,1371.8
48.1,16,6,1,1335.81
48.1,18,4,0,1433.56
48.1,20,8,1,1209.53
49.1,12,4,0,1303.96
49.1,14,4,0,1370.15
49.1,16,6,1,1338.1
49.1,18,4,0,1431.57
49.1,20,8,1,1208.68
50.1,12,4,0,1302.33
50.1,14,4,0,1368.52
50.1,16,6,1,1340.41
50.1,18,4,0,1429.61
50.1,20,8,1,1207.86
51.1,12,4,0,1300.73
51.1,14,4,0,1366.92
51.1,16,6,1,1342.75
51.1,18,4,0,1427.68
51.1,20,8,1,1207.07
52.1,12,4,0,1299.17
52.1,14,4,0,1365.35
52.1,16,6,1,1345.12
52.1,18,4,0,1425.77
52.1,20,8,1,1206.32
53.1,12,4,0,1297.63
53.1,14,4,0,1363.81
53.1,16,6,1,1347.51
53.1,18,4,0,1423.88
53.1,20,8,1,1205.6
54.1,12,4,0,1296.12
54.1,14,4,0,1362.3
54.1,16,6,1,1349.93
54.1,18,4,0,1422.02
54.1,20,8,1,1204.91
55.1,12,4,0,1294.64
55.1,14,4,0,1360.81
55.1,16,6,1,1352.38
55.1,18,4,0,1420.19
55.1,20,8,1,1204.25
56.1,12,4,0,1293.19
56.1,14,4,0,1359.35
56.1,16,6,1,1354.85
56.1,18,4,0,1418.38
56.1,20,8,1,1203.63
57.1,12,4,0,1291.77
57.1,14,4,0,1357.92
57.1,16,6,1,1357.34
57.1,18,4,0,1416.6
57.1,20,8,1,1203.04
58.1,12,4,0,1290.38
58.1,14,4,0,1356.51
58.1,16,6,1,1359.86
58.1,18,4,0,1414.85
58.1,20,8,1,1202.49
59.1,12,4,0,1289.02
59.1,14,4,0,1355.14
59.1,16,6,1,1362.4
59.1,18,4,0,1413.12
59.1,20,8,1,1201.97
60.1,12,4,0,1287.69
60.1,14,4,0,1353.79
60.1,16,6,1,1364.97
60.1,18,4,0,1411.41
60.1,20,8,1,1201.48
61.1,12,4,0,1286.38
61.1,14,4,0,1352.47
61.1,16,6,1,1367.57
61.1,18,4,0,1409.74
61.1,20,8,1,1201.02
62.1,12,4,0,1285.11
62.1,14,4,0,1351.18
62.1,16,6,1,1370.18
62.1,18,4,0,1408.09
62.1,20,8,1,1200.6
63.1,12,4,0,1283.87
63.1,14,4,0,1349.92
63.1,16,6,1,1372.83
63.1,18,4,0,1406.46
63.1,20,8,1,1200.21
64.1,12,4,0,1282.66
64.1,14,4,0,1348.68
64.1,16,6,1,1375.49
64.1,18,4,0,1404.87
64.1,20,8,1,1199.86
65.1,12,4,0,1281.48
65.1,14,4,0,1347.48
65.1,16,6,1,1378.18
65.1,18,4,0,1403.29
65.1,20,8,1,1199.54
66.1,12,4,0,1280.33
66.1,14,4,0,1346.3
66.1,16,6,3,1378.29
66.1,18,4,0,1401.75
66.1,20,8,1,1199.25
67.1,12,4,0,1279.21
67.1,14,4,0,1345.15
67.1,16,6,3,1377.41
67.1,18,4,0,1400.23
67.1,20,8,1,1199
68.1,12,4,0,1278.12
68.1,14,4,0,1344.04
68.1,16,6,3,1376.55
68.1,18,4,0,1398.74
68.1,20,8,1,1198.78
69.1,12,4,0,1277.06
69.1,14,4,0,1342.95
69.1,16,6,3,1375.73
69.1,18,4,0,1397.28
69.1,20,8,1,1198.59
70.1,12,4,0,1276.03
70.1,14,4,0,1341.88
70.1,16,6,3,1374.93
70.1,18,4,0,1395.84
70.1,20,8,1,1198.44
71.1,12,4,0,1275.03
71.1,14,4,0,1340.85
71.1,16,6,3,1374.16
71.1,18,4,0,1394.44
71.1,20,8,1,1198.32
72.1,12,4,0,1274.06
72.1,14,4,0,1339.85
72.1,16,6,3,1373.42
72.1,18,4,0,1393.05
72.1,20,8,1,1198.24
73.1,12,4,0,1273.12
73.1,14,4,0,1338.88
73.1,16,6,3,1372.71
73.1,18,4,0,1391.7
73.1,20,8,1,1198.19
74.1,12,4,0,1272.22
74.1,14,4,0,1337.93
74.1,16,6,3,1372.03
74.1,18,4,0,1390.37
74.1,20,8,1,1198.17
75.1,12,4,0,1271.34
75.1,14,4,0,1337.02
75.1,16,6,3,1371.37
75.1,18,4,0,1389.07
75.1,20,8,1,1198.19
76.1,12,4,0,1270.5
76.1,14,4,0,1336.13
76.1,16,6,3,1370.75
76.1,18,4,0,1387.8
76.1,20,8,1,1198.24
77.1,12,4,0,1269.69
77.1,14,4,0,1335.27
77.1,16,6,3,1370.15
77.1,18,4,0,1386.56
77.1,20,8,1,1198.32
78.1,12,4,0,1268.91
78.1,14,4,0,1334.45
78.1,16,6,3,1369.59
78.1,18,4,0,1385.34
78.1,20,8,1,1198.44
79.1,12,4,0,1268.16
79.1,14,4,0,1333.65
79.1,16,6,3,1369.05
79.1,18,4,0,1384.15
79.1,20,8,1,1198.59
80.1,12,4,0,1267.44
80.1,14,4,0,1332.88
80.1,16,6,3,1368.54
80.1,18,4,0,1382.99
80.1,20,8,1,1198.77
81.1,12,4,0,1266.75
81.1,14,4,0,1332.14
81.1,16,6,3,1368.06
81.1,18,4,0,1381.86
81.1,20,8,1,1198.99
82.1,12,4,0,1266.09
82.1,14,4,0,1331.43
82.1,16,6,3,1367.61
82.1,18,4,0,1380.76
82.1,20,8,1,1199.25
83.1,12,4,0,1265.47
83.1,14,4,0,1330.76
83.1,16,6,3,1367.19
83.1,18,4,0,1379.68
83.1,20,8,1,1199.53
84.1,12,4,0,1264.88
84.1,14,4,0,1330.11
84.1,16,6,3,1366.8
84.1,18,4,0,1378.63
84.1,20,8,1,1199.85
85.1,12,4,0,1264.31
85.1,14,4,0,1329.49
85.1,16,6,3,1366.44
85.1,18,4,0,1377.61
85.1,20,8,1,1200.21
86.1,12,4,0,1263.78
86.1,14,4,0,1328.9
86.1,16,6,3,1366.1
86.1,18,4,0,1376.62
86.1,20,8,1,1200.59
87.1,12,4,0,1263.28
87.1,14,4,0,1328.34
87.1,16,6,3,1365.8
87.1,18,4,0,1375.66
87.1,20,8,1,1201.01
88.1,12,4,0,1262.82
88.1,14,4,0,1327.81
88.1,16,6,3,1365.52
88.1,18,4,0,1374.72
88.1,20,8,1,1201.47
89.1,12,4,0,1262.38
89.1,14,4,0,1327.31
89.1,16,6,3,1365.28
89.1,18,4,0,1373.81
89.1,20,8,1,1201.95
90.1,12,4,0,1261.98
90.1,14,4,0,1326.84
90.1,16,6,3,1365.06
90.1,18,4,0,1372.94
90.1,20,8,1,1202.47
91.1,12,4,0,1261.61
91.1,14,4,0,1326.4
